filelink	include	beginn	ende	dauer_norm	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	umfang_stunden	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	account	redaktion	title	position_lektorat	position_lfba	position_rat	position_projekt	position_wma	position_diss	position_postdoc		stadt	land
stellenanzeigen/1034.html	1	2015-10-01	2018-03-31	30		E13	Entgeltgruppe 13 TV-L	39,8 Stunden/ Woche	100	N/A	8	2015	11. Juni 2015	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	3777-_Academics_de	4235-Stefanie_Popp	Wissenschaftliche Mitarbeiterin/wissenschaftlicher Mitarbeiter (Postdoc) am Graduiertenkolleg „Expertenkulturen des 12. bis 18. Jahrhunderts“ 	0	0	0	0	1	0	1		Göttingen 	DE
stellenanzeigen/1150.html	1	2015-10-01	2018-09-30	36		E13	TV-L 13	39,83	100	N/A	N/A	2015	30. Juli 2015	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Italienisch, Portugiesisch, Spanisch, Sprachübergreifend	1	1	1	1	0	0	0	0	0	1	3594-Sascha_Diwersy	13-Christof_SchOech	Wiss. Mitarbeiter/in Sprachwissenschaft	0	0	0	0	1	0	0		Köln	DE
stellenanzeigen/1139.html	1	N/A	2019-09-30	48		E13	E 13 TV-L	39,83 h	100	N/A	N/A	2015	23. Juli 2015	Literaturwissenschaft, Medien-/Kulturwissenschaft, Sprachwissenschaft	1	1	1	0	0	0	Französisch, Portugiesisch, Spanisch	1	1	0	1	0	0	0	0	0	0	46-Frank_Reza_Links	4235-Stefanie_Popp	Studiengangskoordinator*in für den interdisziplinären und hochschulübergreifenden Masterverbundstudiengang &quot;Gender und Queer Studies&quot;	0	0	0	0	0	0	0		Köln 	DE
stellenanzeigen/981.html	1	2015-10-01	2017-09-30	24		E13	TV-L E 13	39,83 h (Vollzeit)	100	N/A	N/A	2015	21. Mai 2015	Sprachpraxis	0	0	0	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	3784-Karl_Heinz_ROentgen	4235-Stefanie_Popp	Lehrkraft für besondere Aufgaben in französischer Sprachpraxis (m/w)	0	1	0	0	0	0	0		Universität zu Köln	DE
stellenanzeigen/477.html	1	N/A	N/A	36		E13	E 13 TV-L	39,83 oder 19,92	100	N/A	N/A	2014	09. Oktober 2014	Fachdidaktik	0	0	0	1	0	0	Spanisch	0	1	0	0	0	0	0	0	0	0	194-Marcus_BAer	13-Christof_SchOech	Wiss. Mitarbeiter/in im Bereich Fachdidaktik Spanisch	0	0	0	0	1	0	0		Wuppertal	DE
stellenanzeigen/302.html	1	2014-09-01	2017-10-31	38		E13	13 TV-L	39,83 Std	100	N/A	N/A	2014	28. Juni 2014	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Französisch, Italienisch, Portugiesisch, Spanisch, Englisch	1	1	1	1	0	0	0	1	0	0	3777-_Academics_de	3759-Silvia_Eunice_Guti_rrez_De_la_Torre	Referenten/Referentin (Gebiet Sozial- und Geisteswissenschaften) / AMGC, Köln	0	0	0	0	0	0	0		Köln	DE
stellenanzeigen/4946.html	1	2021-04-01	N/A	24			N/A	39,83 Std./Woche	100	N/A	N/A	2020	23. Dezember 2020	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	3777-_Academics_de	5130-Ursula_Winter	Postdoc (m/w/d) am Graduiertenkolleg &quot;Das Dokumentarische. Exzess und Entzug&quot;	0	0	0	0	0	0	1		Bochum	DE
stellenanzeigen/5154.html	1	2021-10-01	2026-03-31	54		E13	13 TV-L	39,83 Wochenstunden	100	N/A	N/A	2021	29. März 2021	Medien-/Kulturwissenschaft	0	0	1	0	0	0	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	4081-Martina_Mohr	764-Robert_Hesselbach	Postdoc (w/m/d) - Medienkulturen am Graduiertenkolleg &quot;anschließen - ausschließen&quot;	0	0	0	0	0	0	1		Köln	DE
stellenanzeigen/1355.html	1	2016-04-01	2018-03-31	24		E13	Bes.Gr. nach T-VL 13	39&#39;50	100	N/A	N/A	2015	06. November 2015	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	4411-Christina_Ossenkop	4-Lars_Schneider	Lehrkraft für besondere Aufgaben (Sprachwissenschaft Französisch/Spanisch) 	0	1	0	0	0	0	0		Münster	DE
stellenanzeigen/274.html	1	2014-10-01	2015-09-30	12		E13	13 TV-L	39h50/Woche	100	N/A	N/A	2014	18. Juni 2014	Literaturwissenschaft	1	0	0	0	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	3960-Karen_Forner	13-Christof_SchOech	Lehrkraft für besondere Aufgaben: Französische Literaturwissenschaft	0	1	0	0	0	0	0		Münster	DE
